epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
65,3302.08,0.52768,3.33134,0.17999,0.3782,0.01342,0.73898,0.9734,0.97459,0.99047,0.85965,0.88424,0.85383,0.85444,0.71615,0.41597,2.33693,0.04767,0.23484,0.01377,0,0.000588479,0.000588479,0.000588479
66,3702.56,0.52066,3.27987,0.1816,0.37019,0.01308,0.68535,0.97289,0.97403,0.99046,0.85979,0.88533,0.854,0.85469,0.71639,0.41592,2.33283,0.04746,0.23352,0.01377,0,0.000560549,0.000560549,0.000560549
67,4094.8,0.51821,3.20595,0.18047,0.36228,0.0132,0.62791,0.97375,0.9738,0.9905,0.85979,0.88581,0.85508,0.85487,0.71794,0.41545,2.32909,0.04739,0.23329,0.01376,0,0.000533064,0.000533064,0.000533064
68,4493.36,0.51952,3.22937,0.17788,0.36859,0.01312,0.6363,0.97461,0.97362,0.99049,0.85986,0.88581,0.85485,0.85473,0.71851,0.41521,2.3256,0.04721,0.23238,0.01374,0,0.000506049,0.000506049,0.000506049
69,4689.96,0.51732,3.20549,0.17881,0.3631,0.01304,0.59729,0.97425,0.97387,0.99046,0.85997,0.88692,0.85458,0.85484,0.71868,0.41443,2.32348,0.04698,0.23316,0.01372,0,0.000479531,0.000479531,0.000479531
70,4886.68,0.51587,3.20835,0.17792,0.36542,0.01305,0.61072,0.97447,0.97272,0.9904,0.85973,0.88664,0.85419,0.85492,0.71839,0.41395,2.31881,0.0468,0.23391,0.0137,0,0.000453537,0.000453537,0.000453537
71,5085.07,0.51033,3.12513,0.17602,0.35805,0.01284,0.54319,0.97449,0.97375,0.99054,0.86018,0.88611,0.85676,0.85544,0.71963,0.41384,2.31601,0.04652,0.23167,0.0137,0,0.000428093,0.000428093,0.000428093
72,5281.12,0.51059,3.15402,0.17597,0.36079,0.01285,0.56284,0.97629,0.9726,0.99061,0.86022,0.88523,0.85676,0.85552,0.71978,0.41356,2.31201,0.0464,0.23094,0.01369,0,0.000403222,0.000403222,0.000403222
73,5475.9,0.5093,3.15364,0.17578,0.36203,0.01277,0.54906,0.97634,0.97277,0.9907,0.86049,0.88599,0.85651,0.85552,0.72001,0.41308,2.30922,0.04624,0.23019,0.01367,0,0.00037895,0.00037895,0.00037895
74,5672.64,0.50762,3.10562,0.17702,0.35475,0.0128,0.49494,0.97649,0.97247,0.99071,0.86041,0.88491,0.85931,0.85578,0.72079,0.41278,2.30395,0.04605,0.2304,0.01366,0,0.000355301,0.000355301,0.000355301
75,5867.76,0.50742,3.09614,0.17507,0.3564,0.01276,0.53573,0.97531,0.97413,0.99074,0.86054,0.88883,0.85689,0.86027,0.72144,0.41239,2.30199,0.04591,0.2295,0.01364,0,0.000332298,0.000332298,0.000332298
